ob_end_time,id,id_type,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,prcp_amt,prcp_dur,prcp_amt_q,prcp_dur_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
06/01/2019 22:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,06/01/2019 21:52,0
06/01/2019 23:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,06/01/2019 22:52,0
07/01/2019 00:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,06/01/2019 23:57,0
07/01/2019 01:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 00:51,0
07/01/2019 02:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 01:51,0
07/01/2019 03:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 02:57,0
07/01/2019 04:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 03:52,0
07/01/2019 05:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 04:52,0
07/01/2019 06:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 05:53,0
07/01/2019 07:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 06:58,0
07/01/2019 08:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 07:51,0
07/01/2019 09:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 08:54,0
07/01/2019 10:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 09:54,0
07/01/2019 11:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 10:51,0
07/01/2019 12:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 11:52,0
07/01/2019 13:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 12:52,0
07/01/2019 14:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 13:52,0
07/01/2019 15:00,247539,RAIN,1,1,SREW,708,1011,0,NA,10001,NA,NA,07/01/2019 14:51,0
07/01/2019 16:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 15:51,0
07/01/2019 17:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 16:51,0
07/01/2019 18:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 17:52,0
07/01/2019 19:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 18:51,0
07/01/2019 20:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 19:52,0
07/01/2019 21:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 20:54,0
07/01/2019 22:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 21:54,0
07/01/2019 23:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 22:53,0
08/01/2019 00:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,07/01/2019 23:52,0
08/01/2019 01:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 00:51,0
08/01/2019 02:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 01:52,0
08/01/2019 03:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 02:51,0
08/01/2019 04:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 03:52,0
08/01/2019 05:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 04:52,0
08/01/2019 06:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 05:53,0
08/01/2019 07:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 06:52,0
08/01/2019 08:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 07:52,0
08/01/2019 09:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 08:54,0
08/01/2019 10:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 09:52,0
08/01/2019 11:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 10:53,0
08/01/2019 12:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 11:52,0
08/01/2019 13:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 12:52,0
08/01/2019 14:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 13:53,0
08/01/2019 15:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 14:52,0
08/01/2019 16:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 16:00,0
08/01/2019 17:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 16:52,0
08/01/2019 18:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 17:53,0
08/01/2019 19:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 18:53,0
08/01/2019 20:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 19:52,0
08/01/2019 21:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 20:54,0
08/01/2019 22:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 21:52,0
08/01/2019 23:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 22:52,0
09/01/2019 00:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,08/01/2019 23:52,0
09/01/2019 01:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 00:52,0
09/01/2019 02:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 01:52,0
09/01/2019 03:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 02:52,0
09/01/2019 04:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 03:52,0
09/01/2019 05:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 04:52,0
09/01/2019 06:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 05:55,0
09/01/2019 07:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 06:52,0
09/01/2019 08:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 07:51,0
09/01/2019 09:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 09:13,0
09/01/2019 10:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 09:51,0
09/01/2019 11:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 10:52,0
09/01/2019 12:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 11:52,0
09/01/2019 13:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 12:51,0
09/01/2019 14:00,247539,RAIN,1,1,SREW,708,1011,0,NA,10001,NA,NA,09/01/2019 13:51,0
09/01/2019 15:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 14:52,0
09/01/2019 16:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 15:52,0
09/01/2019 17:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 16:52,0
09/01/2019 18:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 17:53,0
09/01/2019 19:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 18:52,0
09/01/2019 20:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 19:52,0
09/01/2019 21:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 20:54,0
09/01/2019 22:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 21:52,0
09/01/2019 23:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 22:52,0
10/01/2019 00:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,09/01/2019 23:51,0
10/01/2019 01:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 00:52,0
10/01/2019 02:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 01:52,0
10/01/2019 03:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 02:51,0
10/01/2019 04:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 03:51,0
10/01/2019 05:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 04:52,0
10/01/2019 06:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 06:03,0
10/01/2019 07:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 06:52,0
10/01/2019 08:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 07:52,0
10/01/2019 09:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 08:56,0
10/01/2019 10:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 09:52,0
10/01/2019 11:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 10:52,0
10/01/2019 12:00,247539,RAIN,1,1,SREW,708,1011,0,NA,10001,NA,NA,10/01/2019 11:51,0
10/01/2019 13:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 12:51,0
10/01/2019 14:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 13:52,0
10/01/2019 15:00,247539,RAIN,1,1,SREW,708,1011,0,NA,1,NA,NA,10/01/2019 14:52,0
10/01/2019 16:00,247539,RAIN,1,1,SREW,708,1011,0,NA,10001,NA,NA,10/01/2019 15:52,0
10/01/2019 17:00,247539,RAIN,1,1,SREW,708,1011,0,NA,10001,NA,NA,10/01/2019 16:52,0
